DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
04M680,HERITAGE SCHOOL  THE,2002,72,51,70.80%,39,54.20%,76.50%,11,15.30%,21.60%,28,38.90%,54.90%,12,16.70%,23.50%,13,18.10%,7,9.70%
04M680,HERITAGE SCHOOL  THE,2003,60,31,51.70%,22,36.70%,71%,6,10%,19.40%,16,26.70%,51.60%,9,15%,29%,17,28.30%,11,18.30%
04M680,HERITAGE SCHOOL  THE,2004,59,34,57.60%,18,30.50%,52.90%,4,6.80%,11.80%,14,23.70%,41.20%,16,27.10%,47.10%,16,27.10%,7,11.90%
04M680,HERITAGE SCHOOL  THE,2005,84,46,54.80%,28,33.30%,60.90%,3,3.60%,6.50%,25,29.80%,54.30%,18,21.40%,39.10%,31,36.90%,7,8.30%
04M680,HERITAGE SCHOOL  THE,2006,75,42,56%,26,34.70%,61.90%,2,2.70%,4.80%,24,32%,57.10%,16,21.30%,38.10%,26,34.70%,7,9.30%
04M680,HERITAGE SCHOOL  THE,2006 Aug,75,48,64%,30,40%,62.50%,2,2.70%,4.20%,28,37.30%,58.30%,18,24%,37.50%,20,26.70%,7,9.30%
04M695,URBAN PEACE ACADEMY,2001,58,13,22.40%,0,0%,0%,0,0%,0%,0,0%,0%,13,22.40%,100%,25,43.10%,16,27.60%
04M695,URBAN PEACE ACADEMY,2002,74,30,40.50%,17,23%,56.70%,0,0%,0%,17,23%,56.70%,13,17.60%,43.30%,28,37.80%,14,18.90%
04M695,URBAN PEACE ACADEMY,2003,53,20,37.70%,9,17%,45%,0,0%,0%,9,17%,45%,11,20.80%,55%,23,43.40%,5,9.40%
04M695,URBAN PEACE ACADEMY,2004,44,26,59.10%,11,25%,42.30%,0,0%,0%,11,25%,42.30%,15,34.10%,57.70%,9,20.50%,7,15.90%
04M695,URBAN PEACE ACADEMY,2005,57,31,54.40%,17,29.80%,54.80%,1,1.80%,3.20%,16,28.10%,51.60%,14,24.60%,45.20%,12,21.10%,11,19.30%
04M695,URBAN PEACE ACADEMY,2006,45,35,77.80%,27,60%,77.10%,5,11.10%,14.30%,22,48.90%,62.90%,8,17.80%,22.90%,2,4.40%,5,11.10%
04M695,URBAN PEACE ACADEMY,2006 Aug,45,35,77.80%,27,60%,77.10%,5,11.10%,14.30%,22,48.90%,62.90%,8,17.80%,22.90%,2,4.40%,5,11.10%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2001,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2002,48,1,2.10%,0,0%,0%,0,0%,0%,0,0%,0%,1,2.10%,100%,36,75%,11,22.90%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2003,71,4,5.60%,0,0%,0%,0,0%,0%,0,0%,0%,4,5.60%,100%,39,54.90%,28,39.40%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2004,77,3,3.90%,1,1.30%,33.30%,0,0%,0%,1,1.30%,33.30%,2,2.60%,66.70%,52,67.50%,22,28.60%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2005,85,7,8.20%,1,1.20%,14.30%,0,0%,0%,1,1.20%,14.30%,6,7.10%,85.70%,50,58.80%,24,28.20%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2006,81,10,12.30%,5,6.20%,50%,0,0%,0%,5,6.20%,50%,5,6.20%,50%,51,63%,18,22.20%
05M285,HARLEM RENAISSANCE HIGH SCHOOL,2006 Aug,81,11,13.60%,6,7.40%,54.50%,0,0%,0%,6,7.40%,54.50%,5,6.20%,45.50%,50,61.70%,18,22.20%
05M304,MOTT HALL HIGH SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
05M304,MOTT HALL HIGH SCHOOL,2003,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
05M304,MOTT HALL HIGH SCHOOL,2004,85,55,64.70%,53,62.40%,96.40%,3,3.50%,5.50%,50,58.80%,90.90%,2,2.40%,3.60%,27,31.80%,3,3.50%
05M304,MOTT HALL HIGH SCHOOL,2005,92,69,75%,67,72.80%,97.10%,2,2.20%,2.90%,65,70.70%,94.20%,2,2.20%,2.90%,14,15.20%,7,7.60%
05M304,MOTT HALL HIGH SCHOOL,2006,96,67,69.80%,63,65.60%,94%,8,8.30%,11.90%,55,57.30%,82.10%,4,4.20%,6%,14,14.60%,7,7.30%
05M304,MOTT HALL HIGH SCHOOL,2006 Aug,96,73,76%,67,69.80%,91.80%,8,8.30%,11%,59,61.50%,80.80%,6,6.30%,8.20%,8,8.30%,7,7.30%
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,2005,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,2006,62,43,69.40%,42,67.70%,97.70%,0,0%,0%,42,67.70%,97.70%,1,1.60%,2.30%,9,14.50%,10,16.10%
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,2006 Aug,62,45,72.60%,43,69.40%,95.60%,0,0%,0%,43,69.40%,95.60%,2,3.20%,4.40%,7,11.30%,10,16.10%
05M469,CHOIR ACADEMY OF HARLEM,2001,37,27,73%,0,0%,0%,0,0%,0%,0,0%,0%,27,73%,100%,8,21.60%,0,0%
05M469,CHOIR ACADEMY OF HARLEM,2002,46,35,76.10%,6,13%,17.10%,0,0%,0%,6,13%,17.10%,29,63%,82.90%,11,23.90%,0,0%
05M469,CHOIR ACADEMY OF HARLEM,2003,52,37,71.20%,11,21.20%,29.70%,0,0%,0%,11,21.20%,29.70%,26,50%,70.30%,14,26.90%,1,1.90%
05M469,CHOIR ACADEMY OF HARLEM,2004,58,36,62.10%,17,29.30%,47.20%,2,3.40%,5.60%,15,25.90%,41.70%,19,32.80%,52.80%,19,32.80%,3,5.20%
05M469,CHOIR ACADEMY OF HARLEM,2005,84,47,56%,23,27.40%,48.90%,1,1.20%,2.10%,22,26.20%,46.80%,24,28.60%,51.10%,21,25%,10,11.90%
05M469,CHOIR ACADEMY OF HARLEM,2006,39,22,56.40%,16,41%,72.70%,0,0%,0%,16,41%,72.70%,6,15.40%,27.30%,12,30.80%,4,10.30%
05M469,CHOIR ACADEMY OF HARLEM,2006 Aug,39,28,71.80%,17,43.60%,60.70%,0,0%,0%,17,43.60%,60.70%,11,28.20%,39.30%,6,15.40%,4,10.30%
05M499,FREDERICK DOUGLASS ACADEMY,2001,134,121,90.30%,115,85.80%,95%,75,56%,62%,40,29.90%,33.10%,6,4.50%,5%,7,5.20%,3,2.20%
05M499,FREDERICK DOUGLASS ACADEMY,2002,171,135,78.90%,110,64.30%,81.50%,44,25.70%,32.60%,66,38.60%,48.90%,25,14.60%,18.50%,19,11.10%,6,3.50%
05M499,FREDERICK DOUGLASS ACADEMY,2003,197,166,84.30%,156,79.20%,94%,56,28.40%,33.70%,100,50.80%,60.20%,10,5.10%,6%,21,10.70%,7,3.60%
05M499,FREDERICK DOUGLASS ACADEMY,2004,208,141,67.80%,135,64.90%,95.70%,42,20.20%,29.80%,93,44.70%,66%,6,2.90%,4.30%,56,26.90%,11,5.30%
05M499,FREDERICK DOUGLASS ACADEMY,2005,212,167,78.80%,154,72.60%,92.20%,60,28.30%,35.90%,94,44.30%,56.30%,13,6.10%,7.80%,31,14.60%,7,3.30%
05M499,FREDERICK DOUGLASS ACADEMY,2006,259,214,82.60%,207,79.90%,96.70%,76,29.30%,35.50%,131,50.60%,61.20%,7,2.70%,3.30%,32,12.40%,9,3.50%
05M499,FREDERICK DOUGLASS ACADEMY,2006 Aug,259,220,84.90%,211,81.50%,95.90%,77,29.70%,35%,134,51.70%,60.90%,9,3.50%,4.10%,26,10%,9,3.50%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2001,72,60,83.30%,25,34.70%,41.70%,0,0%,0%,25,34.70%,41.70%,35,48.60%,58.30%,6,8.30%,4,5.60%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2002,54,44,81.50%,17,31.50%,38.60%,0,0%,0%,17,31.50%,38.60%,27,50%,61.40%,8,14.80%,2,3.70%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2003,72,48,66.70%,17,23.60%,35.40%,0,0%,0%,17,23.60%,35.40%,31,43.10%,64.60%,16,22.20%,7,9.70%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2004,88,65,73.90%,37,42%,56.90%,0,0%,0%,37,42%,56.90%,28,31.80%,43.10%,15,17%,3,3.40%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2005,99,87,87.90%,61,61.60%,70.10%,7,7.10%,8%,54,54.50%,62.10%,26,26.30%,29.90%,8,8.10%,2,2%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2006,95,65,68.40%,56,58.90%,86.20%,1,1.10%,1.50%,55,57.90%,84.60%,9,9.50%,13.80%,17,17.90%,10,10.50%
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,2006 Aug,95,68,71.60%,58,61.10%,85.30%,1,1.10%,1.50%,57,60%,83.80%,10,10.50%,14.70%,14,14.70%,10,10.50%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2001,72,42,58.30%,28,38.90%,66.70%,0,0%,0%,28,38.90%,66.70%,14,19.40%,33.30%,21,29.20%,6,8.30%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2002,73,37,50.70%,27,37%,73%,0,0%,0%,27,37%,73%,10,13.70%,27%,23,31.50%,12,16.40%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2003,91,39,42.90%,22,24.20%,56.40%,0,0%,0%,22,24.20%,56.40%,17,18.70%,43.60%,22,24.20%,21,23.10%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2004,91,43,47.30%,29,31.90%,67.40%,0,0%,0%,29,31.90%,67.40%,14,15.40%,32.60%,32,35.20%,14,15.40%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2005,135,77,57%,61,45.20%,79.20%,3,2.20%,3.90%,58,43%,75.30%,16,11.90%,20.80%,40,29.60%,13,9.60%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2006,121,45,37.20%,26,21.50%,57.80%,0,0%,0%,26,21.50%,57.80%,19,15.70%,42.20%,41,33.90%,22,18.20%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2006 Aug,121,66,54.50%,37,30.60%,56.10%,0,0%,0%,37,30.60%,56.10%,29,24%,43.90%,20,16.50%,22,18.20%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2002,85,1,1.20%,1,1.20%,100%,1,1.20%,100%,0,0%,0%,0,0%,0%,1,1.20%,1,1.20%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2003,80,80,100%,80,100%,100%,66,82.50%,82.50%,14,17.50%,17.50%,0,0%,0%,0,0%,0,0%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2004,118,116,98.30%,116,98.30%,100%,102,86.40%,87.90%,14,11.90%,12.10%,0,0%,0%,2,1.70%,0,0%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2005,108,107,99.10%,107,99.10%,100%,102,94.40%,95.30%,5,4.60%,4.70%,0,0%,0%,0,0%,1,0.90%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2006,106,101,95.30%,101,95.30%,100%,93,87.70%,92.10%,8,7.50%,7.90%,0,0%,0%,5,4.70%,0,0%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2006 Aug,106,105,99.10%,105,99.10%,100%,94,88.70%,89.50%,11,10.40%,10.50%,0,0%,0%,1,0.90%,0,0%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2001,135,93,68.90%,3,2.20%,3.20%,0,0%,0%,3,2.20%,3.20%,90,66.70%,96.80%,24,17.80%,14,10.40%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2002,49,20,40.80%,13,26.50%,65%,0,0%,0%,13,26.50%,65%,7,14.30%,35%,19,38.80%,6,12.20%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2003,146,102,69.90%,61,41.80%,59.80%,7,4.80%,6.90%,54,37%,52.90%,41,28.10%,40.20%,24,16.40%,15,10.30%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2004,152,107,70.40%,69,45.40%,64.50%,12,7.90%,11.20%,57,37.50%,53.30%,38,25%,35.50%,16,10.50%,13,8.60%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2005,152,116,76.30%,81,53.30%,69.80%,5,3.30%,4.30%,76,50%,65.50%,35,23%,30.20%,18,11.80%,11,7.20%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2006,185,137,74.10%,101,54.60%,73.70%,10,5.40%,7.30%,91,49.20%,66.40%,36,19.50%,26.30%,18,9.70%,17,9.20%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2006 Aug,185,145,78.40%,107,57.80%,73.80%,10,5.40%,6.90%,97,52.40%,66.90%,38,20.50%,26.20%,11,5.90%,16,8.60%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2001,142,95,66.90%,58,40.80%,61.10%,1,0.70%,1.10%,57,40.10%,60%,37,26.10%,38.90%,31,21.80%,13,9.20%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2002,116,70,60.30%,50,43.10%,71.40%,0,0%,0%,50,43.10%,71.40%,20,17.20%,28.60%,30,25.90%,11,9.50%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2003,134,81,60.40%,47,35.10%,58%,5,3.70%,6.20%,42,31.30%,51.90%,34,25.40%,42%,31,23.10%,20,14.90%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2004,108,70,64.80%,42,38.90%,60%,7,6.50%,10%,35,32.40%,50%,28,25.90%,40%,25,23.10%,11,10.20%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2005,148,84,56.80%,48,32.40%,57.10%,8,5.40%,9.50%,40,27%,47.60%,35,23.60%,41.70%,43,29.10%,13,8.80%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2006,161,101,62.70%,80,49.70%,79.20%,17,10.60%,16.80%,63,39.10%,62.40%,21,13%,20.80%,37,23%,20,12.40%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2006 Aug,161,109,67.70%,83,51.60%,76.10%,17,10.60%,15.60%,66,41%,60.60%,26,16.10%,23.90%,29,18%,20,12.40%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2001,162,113,69.80%,67,41.40%,59.30%,4,2.50%,3.50%,63,38.90%,55.80%,46,28.40%,40.70%,30,18.50%,17,10.50%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2002,136,88,64.70%,42,30.90%,47.70%,4,2.90%,4.50%,38,27.90%,43.20%,46,33.80%,52.30%,37,27.20%,11,8.10%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2003,132,93,70.50%,59,44.70%,63.40%,1,0.80%,1.10%,58,43.90%,62.40%,34,25.80%,36.60%,16,12.10%,21,15.90%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2004,110,78,70.90%,52,47.30%,66.70%,8,7.30%,10.30%,44,40%,56.40%,26,23.60%,33.30%,17,15.50%,10,9.10%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2005,150,112,74.70%,82,54.70%,73.20%,17,11.30%,15.20%,65,43.30%,58%,30,20%,26.80%,32,21.30%,2,1.30%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2006,171,122,71.30%,97,56.70%,79.50%,16,9.40%,13.10%,81,47.40%,66.40%,25,14.60%,20.50%,22,12.90%,16,9.40%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2006 Aug,171,132,77.20%,104,60.80%,78.80%,16,9.40%,12.10%,88,51.50%,66.70%,28,16.40%,21.20%,16,9.40%,12,7%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2001,155,83,53.50%,47,30.30%,56.60%,4,2.60%,4.80%,43,27.70%,51.80%,36,23.20%,43.40%,46,29.70%,22,14.20%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2002,106,60,56.60%,32,30.20%,53.30%,2,1.90%,3.30%,30,28.30%,50%,28,26.40%,46.70%,27,25.50%,16,15.10%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2003,170,95,55.90%,42,24.70%,44.20%,4,2.40%,4.20%,38,22.40%,40%,53,31.20%,55.80%,29,17.10%,41,24.10%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2004,126,83,65.90%,43,34.10%,51.80%,7,5.60%,8.40%,36,28.60%,43.40%,40,31.70%,48.20%,25,19.80%,14,11.10%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2005,162,108,66.70%,67,41.40%,62%,19,11.70%,17.60%,48,29.60%,44.40%,41,25.30%,38%,27,16.70%,16,9.90%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2006,158,88,55.70%,51,32.30%,58%,14,8.90%,15.90%,37,23.40%,42%,37,23.40%,42%,29,18.40%,33,20.90%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2006 Aug,158,97,61.40%,53,33.50%,54.60%,14,8.90%,14.40%,39,24.70%,40.20%,44,27.80%,45.40%,20,12.70%,33,20.90%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2001,307,204,66.40%,156,50.80%,76.50%,72,23.50%,35.30%,84,27.40%,41.20%,48,15.60%,23.50%,54,17.60%,42,13.70%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2002,290,177,61%,140,48.30%,79.10%,31,10.70%,17.50%,109,37.60%,61.60%,37,12.80%,20.90%,67,23.10%,37,12.80%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2003,385,243,63.10%,187,48.60%,77%,49,12.70%,20.20%,138,35.80%,56.80%,56,14.50%,23%,97,25.20%,43,11.20%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2004,445,261,58.70%,211,47.40%,80.80%,54,12.10%,20.70%,157,35.30%,60.20%,50,11.20%,19.20%,124,27.90%,55,12.40%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2005,228,197,86.40%,197,86.40%,100%,70,30.70%,35.50%,127,55.70%,64.50%,0,0%,0%,26,11.40%,3,1.30%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2006,267,190,71.20%,173,64.80%,91.10%,43,16.10%,22.60%,130,48.70%,68.40%,17,6.40%,8.90%,58,21.70%,8,3%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2006 Aug,267,206,77.20%,183,68.50%,88.80%,44,16.50%,21.40%,139,52.10%,67.50%,23,8.60%,11.20%,42,15.70%,8,3%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2001,78,44,56.40%,13,16.70%,29.50%,0,0%,0%,13,16.70%,29.50%,31,39.70%,70.50%,21,26.90%,11,14.10%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2002,76,38,50%,14,18.40%,36.80%,1,1.30%,2.60%,13,17.10%,34.20%,24,31.60%,63.20%,24,31.60%,12,15.80%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2003,109,79,72.50%,33,30.30%,41.80%,2,1.80%,2.50%,31,28.40%,39.20%,46,42.20%,58.20%,22,20.20%,7,6.40%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2004,81,64,79%,33,40.70%,51.60%,4,4.90%,6.30%,29,35.80%,45.30%,31,38.30%,48.40%,9,11.10%,8,9.90%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2005,89,65,73%,35,39.30%,53.80%,10,11.20%,15.40%,25,28.10%,38.50%,30,33.70%,46.20%,15,16.90%,9,10.10%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2006,91,74,81.30%,49,53.80%,66.20%,13,14.30%,17.60%,36,39.60%,48.60%,25,27.50%,33.80%,8,8.80%,8,8.80%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2006 Aug,91,74,81.30%,49,53.80%,66.20%,13,14.30%,17.60%,36,39.60%,48.60%,25,27.50%,33.80%,8,8.80%,8,8.80%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2003,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2004,71,52,73.20%,24,33.80%,46.20%,2,2.80%,3.80%,22,31%,42.30%,28,39.40%,53.80%,9,12.70%,7,9.90%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2005,61,52,85.20%,32,52.50%,61.50%,7,11.50%,13.50%,25,41%,48.10%,20,32.80%,38.50%,7,11.50%,2,3.30%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2006,80,64,80%,51,63.80%,79.70%,6,7.50%,9.40%,45,56.30%,70.30%,13,16.30%,20.30%,13,16.30%,3,3.80%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2006 Aug,80,72,90%,52,65%,72.20%,6,7.50%,8.30%,46,57.50%,63.90%,20,25%,27.80%,5,6.30%,3,3.80%
07X321,CROTONA ACADEMY HIGH SCHOOL,2001,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X321,CROTONA ACADEMY HIGH SCHOOL,2002,54,4,7.40%,2,3.70%,50%,0,0%,0%,2,3.70%,50%,2,3.70%,50%,33,61.10%,17,31.50%
07X321,CROTONA ACADEMY HIGH SCHOOL,2003,65,9,13.80%,5,7.70%,55.60%,0,0%,0%,5,7.70%,55.60%,4,6.20%,44.40%,31,47.70%,25,38.50%
07X321,CROTONA ACADEMY HIGH SCHOOL,2004,47,6,12.80%,4,8.50%,66.70%,0,0%,0%,4,8.50%,66.70%,2,4.30%,33.30%,36,76.60%,5,10.60%
07X321,CROTONA ACADEMY HIGH SCHOOL,2005,50,4,8%,3,6%,75%,0,0%,0%,3,6%,75%,1,2%,25%,35,70%,10,20%
07X321,CROTONA ACADEMY HIGH SCHOOL,2006,56,8,14.30%,5,8.90%,62.50%,0,0%,0%,5,8.90%,62.50%,3,5.40%,37.50%,35,62.50%,10,17.90%
07X321,CROTONA ACADEMY HIGH SCHOOL,2006 Aug,56,10,17.90%,5,8.90%,50%,0,0%,0%,5,8.90%,50%,5,8.90%,50%,33,58.90%,10,17.90%
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2006,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2006 Aug,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2002,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2003,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2004,44,5,11.40%,0,0%,0%,0,0%,0%,0,0%,0%,5,11.40%,100%,36,81.80%,3,6.80%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2005,75,12,16%,1,1.30%,8.30%,0,0%,0%,1,1.30%,8.30%,11,14.70%,91.70%,50,66.70%,12,16%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2006,50,5,10%,0,0%,0%,0,0%,0%,0,0%,0%,5,10%,100%,37,74%,8,16%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2006 Aug,50,9,18%,0,0%,0%,0,0%,0%,0,0%,0%,9,18%,100%,33,66%,8,16%
07X381,BRONX HAVEN HIGH SCHOOL   ,2005,53,5,9.40%,0,0%,0%,0,0%,0%,0,0%,0%,5,9.40%,100%,43,81.10%,4,7.50%
07X381,BRONX HAVEN HIGH SCHOOL   ,2006,11,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2003,79,49,62%,32,40.50%,65.30%,3,3.80%,6.10%,29,36.70%,59.20%,17,21.50%,34.70%,20,25.30%,6,7.60%
07X381,BRONX HAVEN HIGH SCHOOL   ,2006 Aug,11,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2002,64,35,54.70%,0,0%,0%,0,0%,0%,0,0%,0%,35,54.70%,100%,27,42.20%,1,1.60%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2003,75,43,57.30%,10,13.30%,23.30%,0,0%,0%,10,13.30%,23.30%,33,44%,76.70%,23,30.70%,8,10.70%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2004,86,62,72.10%,22,25.60%,35.50%,0,0%,0%,22,25.60%,35.50%,40,46.50%,64.50%,12,14%,11,12.80%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2005,82,41,50%,7,8.50%,17.10%,0,0%,0%,7,8.50%,17.10%,34,41.50%,82.90%,22,26.80%,16,19.50%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2006,81,52,64.20%,42,51.90%,80.80%,0,0%,0%,42,51.90%,80.80%,10,12.30%,19.20%,10,12.30%,16,19.80%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2006 Aug,81,55,67.90%,45,55.60%,81.80%,0,0%,0%,45,55.60%,81.80%,10,12.30%,18.20%,7,8.60%,16,19.80%
07X470,SOUTH BRONX HIGH SCHOOL,2001,53,9,17%,0,0%,0%,0,0%,0%,0,0%,0%,9,17%,100%,0,0%,27,50.90%
07X470,SOUTH BRONX HIGH SCHOOL,2002,8,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X470,SOUTH BRONX HIGH SCHOOL,2003,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2001,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2002,72,54,75%,14,19.40%,25.90%,0,0%,0%,14,19.40%,25.90%,40,55.60%,74.10%,12,16.70%,2,2.80%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2003,65,48,73.80%,14,21.50%,29.20%,2,3.10%,4.20%,12,18.50%,25%,34,52.30%,70.80%,10,15.40%,4,6.20%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2004,69,53,76.80%,21,30.40%,39.60%,0,0%,0%,21,30.40%,39.60%,32,46.40%,60.40%,12,17.40%,4,5.80%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2005,97,55,56.70%,29,29.90%,52.70%,2,2.10%,3.60%,27,27.80%,49.10%,26,26.80%,47.30%,29,29.90%,6,6.20%
